class_id,class_name,group,samples,accuracy_baseline,accuracy_dcgfs,accuracy_delta,f1_baseline,f1_dcgfs,f1_delta
155,Warbling Vireo,普通非配对类,30,56.67,36.67,-20.0,36.96,37.93,0.97
156,White eyed Vireo,普通非配对类,30,30.0,63.33,33.33,46.15,73.08,26.92
157,Yellow throated Vireo,普通非配对类,29,17.24,34.48,17.24,21.74,44.44,22.71
158,Bay breasted Warbler,普通非配对类,30,73.33,86.67,13.33,60.27,76.47,16.2
159,Black and white Warbler,普通非配对类,30,86.67,83.33,-3.33,76.47,79.37,2.89
160,Black throated Blue Warbler,普通非配对类,29,82.76,72.41,-10.34,78.69,76.36,-2.32
161,Blue winged Warbler,普通非配对类,30,43.33,73.33,30.0,55.32,69.84,14.52
162,Canada Warbler,普通非配对类,30,80.0,80.0,0.0,72.73,73.85,1.12
163,Cape May Warbler,自动基座类,30,90.0,80.0,-10.0,40.3,64.86,24.57
164,Cerulean Warbler,普通非配对类,30,80.0,40.0,-40.0,78.69,57.14,-21.55
165,Chestnut sided Warbler,普通非配对类,30,20.0,60.0,40.0,32.43,73.47,41.04
166,Golden winged Warbler,普通非配对类,29,51.72,75.86,24.14,66.67,80.0,13.33
167,Hooded Warbler,普通非配对类,30,56.67,73.33,16.67,62.96,75.86,12.9
168,Kentucky Warbler,普通非配对类,29,62.07,75.86,13.79,70.59,77.19,6.6
169,Magnolia Warbler,普通非配对类,29,72.41,86.21,13.79,75.0,80.65,5.65
170,Mourning Warbler,普通非配对类,30,33.33,46.67,13.33,48.78,59.57,10.79
171,Myrtle Warbler,普通非配对类,30,46.67,53.33,6.67,53.85,60.38,6.53
172,Nashville Warbler,普通非配对类,30,46.67,66.67,20.0,51.85,60.61,8.75
173,Orange crowned Warbler,普通非配对类,30,33.33,60.0,26.67,37.74,50.7,12.97
174,Palm Warbler,普通非配对类,30,36.67,46.67,10.0,45.83,57.14,11.31
175,Pine Warbler,普通非配对类,30,43.33,60.0,16.67,50.0,65.45,15.45
176,Prairie Warbler,自动弱势目标类,30,3.33,53.33,50.0,6.25,58.18,51.93
177,Prothonotary Warbler,普通非配对类,30,80.0,90.0,10.0,84.21,84.38,0.16
178,Swainson Warbler,普通非配对类,26,57.69,76.92,19.23,57.69,78.43,20.74
179,Tennessee Warbler,普通非配对类,29,17.24,27.59,10.34,21.28,40.0,18.72
180,Wilson Warbler,普通非配对类,30,66.67,80.0,13.33,62.5,82.76,20.26
181,Worm eating Warbler,普通非配对类,29,65.52,82.76,17.24,71.7,78.69,6.99
182,Yellow Warbler,普通非配对类,30,16.67,76.67,60.0,28.57,83.64,55.06
183,Northern Waterthrush,普通非配对类,30,63.33,70.0,6.67,69.09,73.68,4.59
184,Louisiana Waterthrush,普通非配对类,30,83.33,80.0,-3.33,71.43,77.42,5.99
185,Bohemian Waxwing,普通非配对类,30,86.67,86.67,0.0,63.41,68.42,5.01
186,Cedar Waxwing,普通非配对类,30,56.67,60.0,3.33,53.12,60.0,6.87
187,American Three toed Woodpecker,普通非配对类,20,95.0,85.0,-10.0,82.61,87.18,4.57
188,Pileated Woodpecker,普通非配对类,30,50.0,83.33,33.33,66.67,89.29,22.62
189,Red bellied Woodpecker,普通非配对类,30,93.33,100.0,6.67,86.15,82.19,-3.96
190,Red cockaded Woodpecker,普通非配对类,29,79.31,75.86,-3.45,88.46,86.27,-2.19
191,Red headed Woodpecker,普通非配对类,30,70.0,76.67,6.67,80.77,77.97,-2.8
192,Downy Woodpecker,普通非配对类,30,86.67,90.0,3.33,88.14,90.0,1.86
193,Bewick Wren,普通非配对类,30,33.33,43.33,10.0,36.36,54.17,17.8
194,Cactus Wren,普通非配对类,30,56.67,70.0,13.33,69.39,77.78,8.39
195,Carolina Wren,普通非配对类,30,76.67,66.67,-10.0,64.79,65.57,0.79
196,House Wren,普通非配对类,30,23.33,33.33,10.0,29.79,39.22,9.43
197,Marsh Wren,普通非配对类,30,66.67,70.0,3.33,40.0,59.15,19.15
198,Rock Wren,普通非配对类,30,66.67,63.33,-3.33,56.34,73.08,16.74
199,Winter Wren,普通非配对类,30,83.33,86.67,3.33,72.46,75.36,2.9
200,Common Yellowthroat,普通非配对类,30,80.0,86.67,6.67,71.64,75.36,3.72
